0 0.114 0.295 0.188
1 0.352 0.348 0.073
2 0.185 0.733 0.171
3 0.220 0.318 0.136
4 0.084 0.201 0.135
5 0.403 0.076 0.056
6 0.154 0.409 0.123
7 0.246 0.318 0.238
8 0.286 0.467 0.075
9 0.604 0.385 0.459
10 0.390 0.306 0.236
11 0.718 0.473 0.054
12 0.119 0.078 0.045
13 0.142 0.320 0.304
14 1.567 0.665 0.532
15 0.186 0.177 0.121
16 0.414 0.149 0.117
17 0.079 0.212 0.373
18 0.373 0.210 0.141
19 0.063 0.136 0.315
20 0.486 0.078 0.165
21 0.344 0.252 0.107
22 0.127 0.066 0.060
23 0.202 0.305 0.529
24 0.415 0.478 0.125
25 0.557 1.553 0.329
26 0.389 0.189 0.083
27 0.187 0.107 0.157
28 0.068 0.705 0.228
29 0.269 0.231 0.073
30 0.297 0.617 0.248
31 0.357 0.429 0.172
32 0.453 0.205 0.105
33 0.301 0.407 0.330
34 0.540 0.578 0.111
35 0.459 0.115 0.075
36 0.273 0.616 0.281
37 0.688 0.155 0.180
38 0.140 0.345 0.084
39 0.760 0.849 0.162
40 0.074 0.154 0.489
41 0.095 0.304 0.046
42 0.296 0.170 0.272
43 0.348 0.039 0.144
44 0.403 1.426 0.375
45 0.082 0.250 0.094
46 0.173 0.125 0.070
47 0.212 0.323 0.118
48 0.459 0.357 0.114
49 0.060 0.318 0.187
50 0.176 0.316 0.256
51 0.094 0.491 0.132
52 0.171 0.087 0.079
53 0.070 0.201 0.045
54 0.192 0.104 0.135
55 0.245 0.297 0.228
56 0.101 0.121 0.208
57 0.275 0.286 0.100
58 0.510 0.333 0.252
59 0.103 0.285 0.090
60 0.105 0.109 0.178
61 0.867 0.557 0.531
62 0.431 0.192 0.049
63 0.044 0.588 0.161
64 0.140 0.165 0.203
65 0.110 0.043 0.282
66 0.073 0.127 0.139
67 0.175 1.439 0.110
68 0.064 0.108 0.142
69 1.555 4.387 0.950
70 0.098 0.096 0.127
71 0.056 0.102 0.130
72 0.134 0.306 0.169
73 1.001 0.851 0.461
74 0.192 0.152 0.070
75 0.104 0.128 0.365
76 0.120 0.291 0.063
77 0.043 0.194 0.290
78 0.399 0.433 0.158
79 0.556 0.416 0.175
80 0.069 0.236 0.131
81 0.172 0.082 0.231
82 0.170 0.241 0.244
83 0.078 0.049 1.403
84 0.179 0.054 0.080
85 0.169 0.211 0.075
86 0.246 0.481 0.081
87 0.264 0.090 0.531
88 0.099 0.123 0.222
89 0.425 3.079 1.134
90 0.513 0.069 0.191
91 0.134 0.054 0.111
92 0.193 0.457 0.079
93 0.447 0.063 0.079
94 0.314 0.750 0.161
95 0.401 0.229 0.286
96 0.125 0.229 0.097
97 0.219 0.212 0.070
98 0.206 1.139 0.184
99 0.199 0.245 0.201
